"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1970-Q1",6.8056282956271,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1970-Q2",6.87787557893259,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1970-Q3",6.93712108719929,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1970-Q4",6.87007906274781,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1971-Q1",7.41355081975203,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1971-Q2",7.61317380841253,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1971-Q3",7.83893717932851,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1971-Q4",8.1450222394058,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1972-Q1",8.55096242294115,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1972-Q2",9.1178820594451,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1972-Q3",9.18652508539015,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1972-Q4",9.48066960300513,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1973-Q1",9.85263948914652,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1973-Q2",10.3153256726667,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1973-Q3",10.8119029455402,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1973-Q4",10.9763226336799,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1974-Q1",10.9261185980972,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1974-Q2",10.7247680958039,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1974-Q3",10.841437736212,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1974-Q4",11.508422296714,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1975-Q1",12.2554154968893,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1975-Q2",12.8383334285454,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1975-Q3",13.4256033377625,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1975-Q4",13.3458028368924,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1976-Q1",13.7546706476271,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1976-Q2",14.004040107217,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1976-Q3",14.2801161003459,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1976-Q4",14.7903199871524,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1977-Q1",14.88787392303,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1977-Q2",15.8432172953053,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1977-Q3",16.4534283120283,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1977-Q4",17.2332583662275,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1978-Q1",17.8819343178102,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1978-Q2",18.5549249187256,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1978-Q3",19.0791842506664,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1978-Q4",19.2101004028793,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1979-Q1",19.7299454935534,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1979-Q2",20.5359768762588,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1979-Q3",20.9734094902656,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1979-Q4",20.8852518297596,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1980-Q1",20.5144559263742,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1980-Q2",19.7714919614808,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1980-Q3",20.3147627969859,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1980-Q4",20.2971394135204,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1981-Q1",20.1079026628073,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1981-Q2",19.1797586861,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1981-Q3",18.7460767338415,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1981-Q4",19.050777363039,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1982-Q1",18.7643977370491,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1982-Q2",18.8250022712871,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1982-Q3",18.6626693625753,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1982-Q4",19.0826865335456,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1983-Q1",20.5046882863772,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1983-Q2",23.0081572768981,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1983-Q3",23.6485036741027,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1983-Q4",24.3586824243861,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1984-Q1",25.432303867769,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1984-Q2",25.9217518223116,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1984-Q3",26.498775968153,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1984-Q4",27.7698815241454,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1985-Q1",28.4920343189188,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1985-Q2",29.8390021934196,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","1985-Q3",32.1964536370621,
